,Workload,Ranks,Stencil,Normalized_Runtime
58,dgemm,512,0,1.0021283746898635
59,dgemm,512,0,1.0019969311039927
60,dgemm,1024,32768,0.9826915305728926
61,dgemm,1024,32768,0.9920843494386641
62,dgemm,1024,32768,0.9987579404453383
63,dgemm,1024,32768,0.9956784194944843
64,dgemm,1024,32768,1.0090476887196955
65,dgemm,1024,32768,0.9942786773036479
66,dgemm,1024,32768,1.010740973477718
67,dgemm,1024,32768,1.0069137445393594
68,dgemm,1024,32768,1.0011567765285667
69,dgemm,1024,32768,1.008649899479631
70,dgemm,1024,0,1.0064815447205695
71,dgemm,1024,0,0.98843036574411
72,dgemm,1024,0,0.986729563253315
73,dgemm,1024,0,0.9965757645604945
74,dgemm,1024,0,1.0015608331864039
75,dgemm,1024,0,0.9947923122162491
76,dgemm,1024,0,1.0108567290437973
77,dgemm,1024,0,1.0041595840036965
78,dgemm,1024,0,1.0087005261935185
79,dgemm,1024,0,1.0017127770778456
80,sleep,512,32768,0.9998963814502709
81,sleep,512,32768,0.9998835935163819
82,sleep,512,32768,1.0001171762526233
83,sleep,512,32768,0.9999772520141391
84,sleep,512,32768,1.000125596766585
85,sleep,512,0,1.0001311056160942
86,sleep,512,0,0.9997911162129117
87,sleep,512,0,0.9997180473580684
88,sleep,512,0,1.0002288254601104
89,sleep,512,0,1.0001309053528158
90,sleep,1024,32768,1.0002098863435946
91,sleep,1024,32768,0.9998563132929749
92,sleep,1024,32768,0.9999822790585942
93,sleep,1024,32768,0.99999727707797
94,sleep,1024,32768,0.9999542442268665
95,sleep,1024,0,1.000110553472499
96,sleep,1024,0,1.0001602825843634
97,sleep,1024,0,0.9999827627537584
98,sleep,1024,0,0.999785582386888
99,sleep,1024,0,0.9999608188024909
100,fwq,512,32768,1.0016736983063788
101,fwq,512,32768,0.9994230325402879
102,fwq,512,32768,1.0000275133794707
103,fwq,512,32768,1.0007653802961904
104,fwq,512,32768,0.9981103754776732
105,fwq,512,0,1.0004844183414572
106,fwq,512,0,1.0002412356388481
107,fwq,512,0,0.999376136637554
108,fwq,512,0,1.000874134439372
109,fwq,512,0,0.9990240749427687
110,fwq,1024,32768,0.9988210904966474
111,fwq,1024,32768,1.0001315073913155
112,fwq,1024,32768,1.0011137203011016
113,fwq,1024,32768,1.0000111219607783
114,fwq,1024,32768,0.9999225598501572
115,fwq,1024,0,1.0011112451509638
116,fwq,1024,0,1.0003338819517316
117,fwq,1024,0,0.9995846437648493
118,fwq,1024,0,1.0001247989837243
119,fwq,1024,0,0.998845430148731
120,spmv,512,32768,0.9970552354162284
121,spmv,512,32768,1.0007697459446603
122,spmv,512,32768,1.0007008430968338
123,spmv,512,32768,1.0014860801206973
124,spmv,512,32768,1.0005186025013921
125,spmv,512,32768,0.999288985124203
126,spmv,512,32768,1.0007491945207505
127,spmv,512,32768,1.000844050265527
128,spmv,512,32768,0.9997442235120757
129,spmv,512,32768,0.9988430394976293
130,spmv,512,0,0.9984081377364786
131,spmv,512,0,1.0007121169164102
132,spmv,512,0,0.9990447391369968
133,spmv,512,0,1.0007803594176796
134,spmv,512,0,1.0009850383452679
135,spmv,512,0,0.9977825244827181
136,spmv,512,0,1.0013535282327348
137,spmv,512,0,1.0013355547646932
138,spmv,512,0,1.000831731160061
139,spmv,512,0,0.99876626980696
140,spmv,1024,32768,0.9992309288495396
141,spmv,1024,32768,0.9997716789479346
142,spmv,1024,32768,0.9991943706441448
143,spmv,1024,32768,1.00089734387674
144,spmv,1024,32768,1.000905677681642
145,spmv,1024,0,0.9999883301387418
146,spmv,1024,0,1.000008301130822
147,spmv,1024,0,0.9988140853340409
148,spmv,1024,0,1.0005359128064595
149,spmv,1024,0,1.0006533705899354
150,hpcg,512,32768,1.0041793546790962
151,hpcg,512,32768,0.9976291374719677
152,hpcg,512,32768,0.9994555364510701
153,hpcg,512,32768,0.9953483773507378
154,hpcg,512,32768,1.0033875940471282
155,hpcg,512,0,1.0090327518900715
156,hpcg,512,0,0.9974410894025018
157,hpcg,512,0,0.996969881193737
158,hpcg,512,0,1.0004742608514918
159,hpcg,512,0,0.9960820166621973
160,hpcg,1024,32768,0.9962089760975125
161,hpcg,1024,32768,0.9995650048303623
162,hpcg,1024,32768,1.0040429099891417
163,hpcg,1024,32768,1.0006876276692622
164,hpcg,1024,32768,0.9994954814137207
165,hpcg,1024,0,1.0167682637912308
166,hpcg,1024,0,0.995115925681223
167,hpcg,1024,0,0.9995829684622087
168,hpcg,1024,0,0.9947252794068708
169,hpcg,1024,0,0.9938075626584669
